treatment,environment,change_rate,trait,total_reps,uncon_before_con_cnt,con_cnt,uncon_before_con_prct,subopt_plastic_before_opt_plastic_cnt,opt_plastic_cnt,subopt_plastic_before_opt_plastic_prct
ntasks_1__envs_1__cr_0__tasks_NAND__mr_p0075,ntasks_1__envs_1__tasks_NAND,0,nand,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_1__cr_0__tasks_NAND__mr_p0075,ntasks_1__envs_1__tasks_NAND,0,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_1__cr_0__tasks_NAND__mr_p0075,ntasks_1__envs_1__tasks_NAND,0,all,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_1__cr_0__tasks_NOT__mr_p0075,ntasks_1__envs_1__tasks_NOT,0,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_1__cr_0__tasks_NOT__mr_p0075,ntasks_1__envs_1__tasks_NOT,0,not,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_1__cr_0__tasks_NOT__mr_p0075,ntasks_1__envs_1__tasks_NOT,0,all,20,0,0,0.000000,0,0,0.000000
ntasks_2__envs_1__cr_0__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_1__tasks_NAND_NOT,0,nand,50,0,0,0.000000,0,0,0.000000
ntasks_2__envs_1__cr_0__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_1__tasks_NAND_NOT,0,not,50,0,0,0.000000,0,0,0.000000
ntasks_2__envs_1__cr_0__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_1__tasks_NAND_NOT,0,all,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_1__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,1,nand,50,21,21,1.000000,1,15,0.066667
ntasks_1__envs_2__cr_1__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,1,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_1__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,1,all,50,21,21,1.000000,1,15,0.066667
ntasks_1__envs_2__cr_25__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,25,nand,50,20,45,0.444444,0,45,0.000000
ntasks_1__envs_2__cr_25__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,25,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_25__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,25,all,50,20,45,0.444444,0,45,0.000000
ntasks_1__envs_2__cr_50__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,50,nand,50,45,50,0.900000,2,50,0.040000
ntasks_1__envs_2__cr_50__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,50,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_50__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,50,all,50,45,50,0.900000,2,50,0.040000
ntasks_1__envs_2__cr_100__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,100,nand,50,46,50,0.920000,1,50,0.020000
ntasks_1__envs_2__cr_100__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,100,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_100__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,100,all,50,46,50,0.920000,1,50,0.020000
ntasks_1__envs_2__cr_200__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,200,nand,50,48,50,0.960000,2,50,0.040000
ntasks_1__envs_2__cr_200__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,200,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_200__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,200,all,50,48,50,0.960000,2,50,0.040000
ntasks_1__envs_2__cr_400__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,400,nand,50,49,50,0.980000,1,50,0.020000
ntasks_1__envs_2__cr_400__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,400,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_400__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,400,all,50,49,50,0.980000,1,50,0.020000
ntasks_1__envs_2__cr_800__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,800,nand,50,42,42,1.000000,0,41,0.000000
ntasks_1__envs_2__cr_800__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,800,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_800__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,800,all,50,42,42,1.000000,0,41,0.000000
ntasks_1__envs_2__cr_1600__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,1600,nand,50,31,31,1.000000,0,30,0.000000
ntasks_1__envs_2__cr_1600__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,1600,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_1600__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,1600,all,50,31,31,1.000000,0,30,0.000000
ntasks_1__envs_2__cr_25000__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,25000,nand,50,26,27,0.962963,0,27,0.000000
ntasks_1__envs_2__cr_25000__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,25000,not,50,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_25000__tasks_NAND__mr_p0075,ntasks_1__envs_2__tasks_NAND,25000,all,50,26,27,0.962963,0,27,0.000000
ntasks_1__envs_2__cr_1__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,1,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_1__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,1,not,20,16,19,0.842105,5,19,0.263158
ntasks_1__envs_2__cr_1__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,1,all,20,16,19,0.842105,5,19,0.263158
ntasks_1__envs_2__cr_25__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,25,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_25__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,25,not,20,2,20,0.100000,0,20,0.000000
ntasks_1__envs_2__cr_25__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,25,all,20,2,20,0.100000,0,20,0.000000
ntasks_1__envs_2__cr_50__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,50,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_50__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,50,not,20,4,20,0.200000,1,20,0.050000
ntasks_1__envs_2__cr_50__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,50,all,20,4,20,0.200000,1,20,0.050000
ntasks_1__envs_2__cr_100__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,100,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_100__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,100,not,20,18,20,0.900000,0,20,0.000000
ntasks_1__envs_2__cr_100__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,100,all,20,18,20,0.900000,0,20,0.000000
ntasks_1__envs_2__cr_200__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,200,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_200__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,200,not,20,16,20,0.800000,1,20,0.050000
ntasks_1__envs_2__cr_200__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,200,all,20,16,20,0.800000,1,20,0.050000
ntasks_1__envs_2__cr_400__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,400,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_400__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,400,not,20,16,20,0.800000,0,20,0.000000
ntasks_1__envs_2__cr_400__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,400,all,20,16,20,0.800000,0,20,0.000000
ntasks_1__envs_2__cr_800__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,800,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_800__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,800,not,20,19,20,0.950000,0,20,0.000000
ntasks_1__envs_2__cr_800__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,800,all,20,19,20,0.950000,0,20,0.000000
ntasks_1__envs_2__cr_1600__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,1600,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_1600__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,1600,not,20,20,20,1.000000,3,20,0.150000
ntasks_1__envs_2__cr_1600__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,1600,all,20,20,20,1.000000,3,20,0.150000
ntasks_1__envs_2__cr_25000__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,25000,nand,20,0,0,0.000000,0,0,0.000000
ntasks_1__envs_2__cr_25000__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,25000,not,20,15,15,1.000000,1,15,0.066667
ntasks_1__envs_2__cr_25000__tasks_NOT__mr_p0075,ntasks_1__envs_2__tasks_NOT,25000,all,20,15,15,1.000000,1,15,0.066667
ntasks_2__envs_2__cr_1__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,1,nand,50,15,26,0.576923,4,17,0.235294
ntasks_2__envs_2__cr_1__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,1,not,50,22,50,0.440000,5,49,0.102041
ntasks_2__envs_2__cr_1__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,1,all,50,29,50,0.580000,5,5,1.000000
ntasks_2__envs_2__cr_25__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,25,nand,50,19,50,0.380000,0,50,0.000000
ntasks_2__envs_2__cr_25__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,25,not,50,2,50,0.040000,0,50,0.000000
ntasks_2__envs_2__cr_25__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,25,all,50,2,50,0.040000,49,50,0.980000
ntasks_2__envs_2__cr_50__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,50,nand,50,30,50,0.600000,1,50,0.020000
ntasks_2__envs_2__cr_50__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,50,not,50,3,50,0.060000,0,50,0.000000
ntasks_2__envs_2__cr_50__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,50,all,50,5,50,0.100000,50,50,1.000000
ntasks_2__envs_2__cr_100__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,100,nand,50,44,50,0.880000,0,50,0.000000
ntasks_2__envs_2__cr_100__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,100,not,50,12,50,0.240000,0,50,0.000000
ntasks_2__envs_2__cr_100__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,100,all,50,18,50,0.360000,49,50,0.980000
ntasks_2__envs_2__cr_200__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,200,nand,50,46,50,0.920000,0,50,0.000000
ntasks_2__envs_2__cr_200__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,200,not,50,22,50,0.440000,0,50,0.000000
ntasks_2__envs_2__cr_200__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,200,all,50,29,50,0.580000,46,50,0.920000
ntasks_2__envs_2__cr_400__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,400,nand,50,50,50,1.000000,2,50,0.040000
ntasks_2__envs_2__cr_400__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,400,not,50,29,50,0.580000,2,50,0.040000
ntasks_2__envs_2__cr_400__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,400,all,50,36,50,0.720000,47,50,0.940000
ntasks_2__envs_2__cr_800__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,800,nand,50,49,49,1.000000,0,49,0.000000
ntasks_2__envs_2__cr_800__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,800,not,50,32,50,0.640000,1,50,0.020000
ntasks_2__envs_2__cr_800__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,800,all,50,38,50,0.760000,49,49,1.000000
ntasks_2__envs_2__cr_1600__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,1600,nand,50,35,37,0.945946,0,36,0.000000
ntasks_2__envs_2__cr_1600__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,1600,not,50,30,50,0.600000,0,50,0.000000
ntasks_2__envs_2__cr_1600__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,1600,all,50,46,50,0.920000,29,29,1.000000
ntasks_2__envs_2__cr_25000__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,25000,nand,50,25,26,0.961538,0,26,0.000000
ntasks_2__envs_2__cr_25000__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,25000,not,50,24,48,0.500000,0,48,0.000000
ntasks_2__envs_2__cr_25000__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_2__tasks_NAND_NOT,25000,all,50,46,48,0.958333,3,3,1.000000
ntasks_2__envs_4__cr_1__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,1,nand,50,37,38,0.973684,3,35,0.085714
ntasks_2__envs_4__cr_1__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,1,not,50,25,46,0.543478,11,21,0.523810
ntasks_2__envs_4__cr_1__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,1,all,50,45,47,0.957447,13,13,1.000000
ntasks_2__envs_4__cr_25__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,25,nand,50,20,44,0.454545,17,43,0.395349
ntasks_2__envs_4__cr_25__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,25,not,50,5,50,0.100000,9,50,0.180000
ntasks_2__envs_4__cr_25__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,25,all,50,9,50,0.180000,43,43,1.000000
ntasks_2__envs_4__cr_50__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,50,nand,50,41,50,0.820000,26,50,0.520000
ntasks_2__envs_4__cr_50__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,50,not,50,13,50,0.260000,6,50,0.120000
ntasks_2__envs_4__cr_50__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,50,all,50,24,50,0.480000,49,49,1.000000
ntasks_2__envs_4__cr_100__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,100,nand,50,50,50,1.000000,18,50,0.360000
ntasks_2__envs_4__cr_100__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,100,not,50,29,50,0.580000,11,50,0.220000
ntasks_2__envs_4__cr_100__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,100,all,50,39,50,0.780000,50,50,1.000000
ntasks_2__envs_4__cr_200__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,200,nand,50,48,49,0.979592,21,47,0.446809
ntasks_2__envs_4__cr_200__tasks_NAND_NOT__mr_p0075,ntasks_2__envs_4__tasks_NAND_NOT,200,not,50,29,50,0.580000,27,50,0.540000
